country	year	average	is_estimate
AR	2004	303023.8125	False
AR	2003	280744.0	False
AR	2002	255540.90625	False
AR	2001	310569.0	False
AR	2000	331581.59375	False
AR	1999	339681.8125	False
AR	1998	359194.3125	False
AR	1997	351657.6875	False
AR	1973	313883.1875	False
AR	1972	297623.5	False
AR	1971	290764.90625	False
AR	1970	279292.0	False
AR	1961	239268.90625	False
AR	1960	216068.796875	False
AR	1959	202943.0	False
AR	1958	223821.703125	False
AR	1957	214007.5	False
AR	1956	207019.203125	False
AR	1955	205755.703125	False
AR	1954	195310.40625	False
AR	1953	191398.796875	False
AR	1952	184924.0	False
AR	1951	200997.0	False
AR	1950	197153.796875	False
AU	2016	77975.296875	False
AU	2015	77445.703125	False
AU	2014	76906.8984375	False
AU	2013	76751.3984375	False
AU	2012	76186.5	False
AU	2011	73943.0	False
AU	2010	72966.296875	False
AU	2009	73423.8984375	False
AU	2008	73551.8984375	False
AU	2007	72116.1015625	False
AU	2006	71343.203125	False
AU	2005	70553.296875	False
AU	2004	70267.296875	False
AU	2003	68080.5	False
AU	2002	66864.0	False
AU	2001	65085.8984375	False
AU	2000	65025.8007812	False
AU	1999	63089.0	False
AU	1998	61012.3007812	False
AU	1997	59115.6015625	False
AU	1996	57305.0	False
AU	1995	55618.0	False
AU	1994	54514.6015625	False
AU	1993	53141.6992188	False
AU	1992	51414.0	False
AU	1991	51864.8007812	False
AU	1990	53449.1992188	False
AU	1989	53108.3007812	False
AU	1988	52397.8984375	False
AU	1987	50453.1015625	False
AU	1986	50585.8984375	False
AU	1985	49936.1992188	False
AU	1984	48561.3984375	False
AU	1983	47513.6015625	False
AU	1982	49940.1015625	False
AU	1981	49544.8007812	False
AU	1980	48980.3984375	False
AU	1979	48614.1992188	False
AU	1978	47445.6015625	False
AU	1977	48198.5	False
AU	1976	47201.6992188	False
AU	1975	47037.6992188	False
AU	1974	46686.8984375	False
AU	1973	45342.5	False
AU	1972	44932.3984375	False
AU	1971	44110.5	False
AU	1970	43766.3984375	False
AU	1969	42527.1015625	False
AU	1968	40218.3984375	False
AU	1967	39547.5	False
AU	1966	37532.0	False
AU	1965	37469.1992188	False
AU	1964	36608.8984375	False
AU	1963	34584.8984375	False
AU	1962	32929.0	False
AU	1961	32902.5	False
AU	1960	32460.5996094	False
AU	1959	31831.9003906	False
AU	1958	30503.0996094	False
AU	1957	29642.8007812	False
AU	1956	29713.6992188	False
AU	1955	29286.8007812	False
