country	year	average	is_estimate
AR	2017	378594.74950454663	True
AR	2016	3954545.0324333385	True
AR	2015	817614.4108725358	True
AR	2014	1808933.8904187582	True
AR	2013	365751.5681724027	True
AR	2012	1582450.8127754717	True
AR	2011	1350734.3740331284	True
AR	2010	2121328.029055619	True
AR	2009	1263063.209408259	True
AR	2008	1358756.887440911	True
AR	2007	1198850.7847970524	True
AR	2006	1076743.4997100811	True
AR	2005	583334.7049610307	True
AR	2004	303023.8125	False
AR	2003	280744.0	False
AR	2002	255540.90625	False
AR	2001	310569.0	False
AR	2000	331581.59375	False
AR	1999	339681.8125	False
AR	1998	359194.3125	False
AR	1997	351657.6875	False
AR	1996	717097.0591549482	True
AR	1995	517018.6294844691	True
AR	1994	547360.5334869344	True
AR	1993	431948.50926248357	True
AR	1992	408980.8264464168	True
AR	1991	519697.6096423976	True
AR	1990	228685.65667357482	True
AR	1989	162773.08145007584	True
AR	1988	129532.5514582321	True
AR	1987	2870.0778576880693	True
AR	1986	26706.788040943444	True
AR	1985	29881.943401778117	True
AR	1984	102658.39168574382	True
AR	1983	146467.64881617762	True
AR	1982	259134.2252652431	True
AR	1981	364457.68214845005	True
AR	1980	228536.96715353522	True
AR	1979	231942.5203468809	True
AR	1978	238456.36056935042	True
AR	1977	477539.11984956264	True
AR	1976	413247.36133026145	True
AR	1975	146963.97888157982	True
AR	1974	146942.50708818808	True
AR	1973	313883.1875	False
AR	1972	297623.5	False
AR	1971	290764.90625	False
AR	1970	279292.0	False
AR	1969	84785.37584909145	True
AR	1968	86449.27002363186	True
AR	1967	78905.67915289011	True
AR	1966	31186.909003871493	True
AR	1965	42902.926521157846	True
AR	1964	30373.00053915754	True
AR	1963	44616.78193726018	True
AR	1962	42398.163072610274	True
AR	1961	239268.90625	False
AR	1960	216068.796875	False
AR	1959	202943.0	False
AR	1958	223821.703125	False
AR	1957	214007.5	False
AR	1956	207019.203125	False
AR	1955	205755.703125	False
AR	1954	195310.40625	False
AR	1953	191398.796875	False
AR	1952	184924.0	False
AR	1951	200997.0	False
AR	1950	197153.796875	False
AR	1949	196814.12220909726	True
AR	1948	516563.13142007776	True
AR	1947	526821.450051765	True
AR	1946	780446.3481061636	True
AR	1945	378594.74950454663	True
AR	1944	555590.9558345415	True
AR	1943	266244.6533459658	True
AR	1942	267887.2555099875	True
AR	1941	269551.5296609439	True
AR	1940	4771026.451946173	True
AR	1939	7403726.528276512	True
AR	1938	7236370.959642753	True
AR	1937	566207.2793755131	True
AR	1936	7479434.625178799	True
AR	1935	7479873.081088521	True
AR	1934	7565889.115958225	True
AR	1933	7553767.827578217	True
AR	1932	570024.0075289318	True
AR	1931	568228.1848509917	True
AR	1930	566822.2982474118	True
AR	1929	565399.3735306785	True
AR	1928	566071.6488422491	True
AR	1927	566217.5279916897	True
AR	1926	565965.0659916122	True
AR	1925	566578.0987311667	True
AR	1924	566810.2131833825	True
AR	1923	378594.74950454663	True
AR	1922	378594.74950454663	True
AR	1921	569011.6449238602	True
AR	1920	567846.6332733454	True
AR	1919	567582.9809470447	True
AR	1918	566911.7961154925	True
AR	1917	567613.1110190852	True
AR	1916	567419.8041184414	True
AR	1915	568931.1105685364	True
AR	1914	569141.1530499449	True
AU	2017	708723.8489258345	True
AU	2016	77975.296875	False
AU	2015	77445.703125	False
AU	2014	76906.8984375	False
AU	2013	76751.3984375	False
AU	2012	76186.5	False
AU	2011	73943.0	False
AU	2010	72966.296875	False
AU	2009	73423.8984375	False
AU	2008	73551.8984375	False
AU	2007	72116.1015625	False
AU	2006	71343.203125	False
AU	2005	70553.296875	False
AU	2004	70267.296875	False
AU	2003	68080.5	False
AU	2002	66864.0	False
AU	2001	65085.8984375	False
AU	2000	65025.8007812	False
AU	1999	63089.0	False
AU	1998	61012.3007812	False
AU	1997	59115.6015625	False
AU	1996	57305.0	False
AU	1995	55618.0	False
AU	1994	54514.6015625	False
AU	1993	53141.6992188	False
AU	1992	51414.0	False
AU	1991	51864.8007812	False
AU	1990	53449.1992188	False
AU	1989	53108.3007812	False
AU	1988	52397.8984375	False
AU	1987	50453.1015625	False
AU	1986	50585.8984375	False
AU	1985	49936.1992188	False
AU	1984	48561.3984375	False
AU	1983	47513.6015625	False
AU	1982	49940.1015625	False
AU	1981	49544.8007812	False
AU	1980	48980.3984375	False
AU	1979	48614.1992188	False
AU	1978	47445.6015625	False
AU	1977	48198.5	False
AU	1976	47201.6992188	False
AU	1975	47037.6992188	False
AU	1974	46686.8984375	False
AU	1973	45342.5	False
